DE027C;Frankfurt (Oder);;;
DE027F;Frankfurt (Oder);;;
DE028C;Weimar;;;
DE028F;Weimar;;;
DE029C;Schwerin;;;
DE029F;Schwerin;;;
DE030C;Erfurt;;;
DE030F;Erfurt;;;
DE031C;Augsburg;;;
DE031F;Augsburg;;;
DE032C;Bonn;;;
DE032F;Bonn;;;
DE033C;Karlsruhe;;;
DE033F;Karlsruhe;;;
DE034C;Mönchengladbach;;;
DE034F;Mönchengladbach;;;
DE035C;Mainz;;;
DE035F;Mainz;;;
DE036C;Kiel;;;
DE036F;Kiel;;;
DE037C;Saarbrücken;;;
DE037F;Saarbrücken;;;
DE038C;Potsdam;;;
DE039C;Koblenz;;;
DE039F;Koblenz;;;
DE040C;Rostock;;;
DE040F;Rostock;;;
DE041C;Kaiserslautern;;;
DE041F;Kaiserslautern;;;
DE042C;Iserlohn;;;
DE042F;Iserlohn;;;
DE043C;Esslingen am Neckar;;;
DE044C;Hanau;;;
DE045C;Wilhelmshaven;;;
DE045F;Wilhelmshaven;;;
DE046C;Ludwigsburg;;;
DE047C;Tübingen;;;
DE047F;Tübingen;;;
DE048C;Villingen-Schwenningen;;;
DE048F;Villingen-Schwenningen;;;
DE049C;Flensburg;;;
DE049F;Flensburg;;;
DE050C;Marburg;;;
DE050F;Marburg;;;
DE051C;Konstanz;;;
DE051F;Konstanz;;;
DE052C;Neumünster;;;
DE052F;Neumünster;;;
DE053C;Brandenburg an der Havel;;;
DE053F;Brandenburg an der Havel;;;
DE054C;Gießen;;;
DE054F;Gießen;;;
DE055C;Lüneburg;;;
DE056C;Bayreuth;;;
DE056F;Bayreuth;;;
DE057C;Celle;;;
DE057F;Celle;;;
DE058C;Aschaffenburg;;;
DE058F;Aschaffenburg;;;
DE059C;Bamberg;;;
DE059F;Bamberg;;;
DE060C;Plauen;;;
DE060F;Plauen;;;
DE061C;Neubrandenburg;;;
DE061F;Neubrandenburg;;;
DE062C;Fulda;;;
DE062F;Fulda;;;
DE063C;Kempten (Allgäu);;;
